feature,gain,permutation_mean,permutation_std
Na2O,0.48948603868484497,0.0,0.0
MgO,1.30965256690979,0.00588235294117645,0.002941176470588225
Al2O3,0.6092283129692078,0.004411764705882337,0.0036021907982105427
SiO2,0.6607962846755981,0.0,0.0
K2O,4.165096282958984,0.14705882352941177,0.02751218666745543
CaO,2.8201935291290283,-0.002941176470588225,0.0036021907982105427
TiO2,1.069634199142456,0.007352941176470585,0.004650408323777048
Fe2O3,0.8883857131004333,0.008823529411764697,0.0029411764705882686
As2O3,0.9447299838066101,0.0,0.0
MnO,3.613355875015259,0.11029411764705885,0.010398629135096281
CuO,0.62055504322052,0.007352941176470562,0.0
ZnO,0.4673689305782318,-0.0014705882352941124,0.002941176470588225
PbO2,1.1611900329589844,0.0,0.004650408323777012
Rb2O,3.321777582168579,-0.002941176470588225,0.0036021907982105427
SrO,1.5418651103973389,0.007352941176470562,0.0
Y2O3,0.9384921789169312,0.002941176470588225,0.0036021907982105427
ZrO2,1.509087324142456,0.0,0.0
P2O5,1.4758232831954956,0.002941176470588225,0.0036021907982105436
